"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1",NA,"RR02",29.51869986,-81.80699886,NA,NA,"Lake Ocklawaha",NA,"Primary"
"2",NA,"RR03",29.51301794,-81.80398975,NA,NA,"Lake Ocklawaha",NA,"Alternate"
"3",NA,"RR07",29.50743366,-81.82391957,NA,NA,"Lake Ocklawaha",NA,"Alternate"
"4",NA,"RR09",29.51071643,-81.83674682,NA,NA,"Lake Ocklawaha",NA,"Primary"
"5",NA,"RR10",29.50950667,-81.8418374,NA,NA,"Lake Ocklawaha",NA,"Primary"
"6",NA,"RR13",29.51427195,-81.856954,NA,NA,"Lake Ocklawaha",NA,"Alternate"
"7",NA,"RR15",29.51235744,-81.87009447,NA,NA,"Lake Ocklawaha",NA,"Primary"
"8",NA,"RR17",29.50619775,-81.88129605,NA,NA,"Lake Ocklawaha",NA,"Primary"
"9",NA,"RR18",29.50604226,-81.88824557,NA,NA,"Lake Ocklawaha",NA,"Primary"
"10",NA,"RR19",29.50954892,-81.89365215,NA,NA,"Lake Ocklawaha",NA,"Primary"
"11",NA,"RR20",29.50918699,-81.89981377,NA,NA,"Lake Ocklawaha",NA,"Primary"
"12",NA,"RR23",29.49735819,-81.91261771,NA,NA,"Lake Ocklawaha",NA,"Primary"
"13",NA,"RR25",29.48726747,-81.91138641,NA,NA,"Lake Ocklawaha",NA,"Primary"
"14",NA,"RR26",29.48168823,-81.91113177,NA,NA,"Lake Ocklawaha",NA,"Alternate"
"15",NA,"RR27",29.47606212,-81.9145805,NA,NA,"Lake Ocklawaha",NA,"Primary"
"16",NA,"RR28",29.47723391,-81.91945818,NA,NA,"Lake Ocklawaha",NA,"Primary"
"17",NA,"RR31",29.49545307,-81.9188722,NA,NA,"Lake Ocklawaha",NA,"Primary"
"18",NA,"RR32",29.5010775,-81.91823392,NA,NA,"Lake Ocklawaha",NA,"Primary"
"19",NA,"RR35",29.51088642,-81.90974792,NA,NA,"Lake Ocklawaha",NA,"Primary"
"20",NA,"RR38",29.51933982,-81.89518436,NA,NA,"Lake Ocklawaha",NA,"Primary"
"21",NA,"RR39",29.51502054,-81.89113841,NA,NA,"Lake Ocklawaha",NA,"Primary"
"22",NA,"RR41",29.51728734,-81.87601972,NA,NA,"Lake Ocklawaha",NA,"Alternate"
"23",NA,"RR43",29.52340655,-81.86476467,NA,NA,"Lake Ocklawaha",NA,"Primary"
"24",NA,"RR44",29.52795692,-81.86139272,NA,NA,"Lake Ocklawaha",NA,"Primary"
"25",NA,"RR45",29.5293888,-81.85491686,NA,NA,"Lake Ocklawaha",NA,"Primary"
"26",NA,"RR47",29.53496804,-81.84273267,NA,NA,"Lake Ocklawaha",NA,"Primary"
"27",NA,"RR48",29.53717366,-81.8373618,NA,NA,"Lake Ocklawaha",NA,"Primary"
"28",NA,"RR50",29.53198425,-81.82978255,NA,NA,"Lake Ocklawaha",NA,"Primary"
"29",NA,"RR51",29.52754386,-81.8242411,NA,NA,"Lake Ocklawaha",NA,"Primary"
"30",NA,"RR54",29.52690742,-81.80755089,NA,NA,"Lake Ocklawaha",NA,"Primary"
