"","Waterbody","type","ident","Latitude","Longitude","Strata","Habitat","Zone","Grid","Minigrid","Exclude","selection"
"1","Ocklawaha River",NA,165069,29.0904166667,-81.9049166667,"1_Run","Run","1",32,255,NA,"Primary"
"2","Ocklawaha River",NA,165203,29.0849166667,-81.8929166667,"1_Run","Run","1",33,41,NA,"Primary"
"3","Ocklawaha River",NA,165817,29.1134166667,-81.92425,"1_Run","Run","1",30,758,NA,"Primary"
"4","Ocklawaha River",NA,166174,29.1180833333,-81.9254166667,"1_Run","Run","1",29,822,NA,"Alternate"
"5","Ocklawaha River",NA,166174,29.11875,-81.9255833333,"1_Run","Run","1",29,839,NA,"Alternate"
"6","Ocklawaha River",NA,166253,29.12825,-81.93425,"1_Run","Run","1",28,1037,NA,"Primary"
"7","Ocklawaha River",NA,166597,29.1364166667,-81.94975,"1_Run","Run","1",27,1271,NA,"Primary"
"8","Ocklawaha River",NA,166868,29.1435833333,-81.9585833333,"2_Run","Run","2",26,1473,NA,"Primary"
"9","Ocklawaha River",NA,167061,29.1525833333,-81.97775,"2_Run","Run","2",24,1805,NA,"Alternate"
"10","Ocklawaha River",NA,167061,29.15825,-81.9825833333,"2_Run","Run","2",24,1989,NA,"Alternate"
"11","Ocklawaha River",NA,167235,29.1635833333,-81.9844166667,"2_Run","Run","2",23,2090,NA,"Primary"
"12","Ocklawaha River",NA,167889,29.16975,-81.9870833333,"2_Run","Run","2",21,2202,NA,"Primary"
"13","Ocklawaha River",NA,167889,29.1730833333,-81.9865833333,"2_Run","Run","2",21,2265,NA,"Primary"
"14","Ocklawaha River",NA,167889,29.1725833333,-81.9860833333,"2_Run","Run","2",21,2254,NA,"Primary"
"15","Ocklawaha River",NA,168355,29.1839166667,-81.99325,"2_Run","Run","2",20,2481,NA,"Primary"
"16","Ocklawaha River",NA,168549,29.20775,-81.9920833333,"3_OB","OB","3",19,2915,NA,"Primary"
"17","Ocklawaha River",NA,168549,29.2139166667,-81.98625,"3_Run","Run","3",19,3045,NA,"Alternate"
"18","Ocklawaha River",NA,168549,29.2039166667,-81.9930833333,"3_IB","IB","3",19,2848,NA,"Alternate"
"19","Ocklawaha River",NA,169032,29.21775,-81.9855833333,"3_IB","IB","3",17,3152,NA,"Alternate"
"20","Ocklawaha River",NA,169032,29.22125,-81.9835833333,"3_OB","OB","3",17,3246,NA,"Alternate"
"21","Ocklawaha River",NA,169212,29.2220833333,-81.98175,"3_OB","OB","3",18,3302,NA,"Primary"
"22","Ocklawaha River",NA,169212,29.2249166667,-81.98175,"3_Run","Run","3",18,3382,NA,"Alternate"
"23","Ocklawaha River",NA,169922,29.2380833333,-81.96775,"3_Run","Run","3",15,3791,NA,"Primary"
"24","Ocklawaha River",NA,170296,29.2589166667,-81.95575,"3_Run","Run","3",13,4342,NA,"Primary"
"25","Ocklawaha River",NA,170296,29.2504166667,-81.9650833333,"3_Run","Run","3",13,4093,NA,"Primary"
"26","Ocklawaha River",NA,170296,29.2560833333,-81.96125,"3_OB","OB","3",13,4220,NA,"Primary"
"27","Ocklawaha River",NA,170846,29.28225,-81.9375833333,"3_Run","Run","3",12,5009,NA,"Alternate"
"28","Ocklawaha River",NA,170846,29.2815833333,-81.9375833333,"3_Run","Run","3",12,4998,NA,"Alternate"
"29","Ocklawaha River",NA,171063,29.29525,-81.9184166667,"3_Run","Run","3",10,5402,NA,"Primary"
"30","Ocklawaha River",NA,171063,29.2899166667,-81.9254166667,"3_Run","Run","3",10,5251,NA,"Primary"
"31","Ocklawaha River",NA,172125,29.3105833333,-81.90625,"3_Run","Run","3",7,5743,NA,"Primary"
"32","Ocklawaha River",NA,172691,29.3167499991,-81.90025,"3_Run","Run","3",5,5896,NA,"Primary"
"33","Ocklawaha River",NA,172714,29.3250833333,-81.8929166667,"3_Run","Run","3",6,6176,NA,"Primary"
"34","Ocklawaha River",NA,172714,29.3229166667,-81.8925833333,"3_Run","Run","3",6,6104,NA,"Primary"
"35","Ocklawaha River",NA,172714,29.3250833333,-81.8924166667,"3_OB","OB","3",6,6178,NA,"Alternate"
"36","Ocklawaha River",NA,173402,29.3404166667,-81.8845833333,"3_Run","Run","3",4,6550,NA,"Primary"
"37","Ocklawaha River",NA,173402,29.33925,-81.8850833333,"3_IB","IB","3",4,6520,NA,"Primary"
"38","Ocklawaha River",NA,173402,29.3340833333,-81.8880833333,"3_IB","IB","3",4,6390,NA,"Primary"
"39","Ocklawaha River",NA,173554,29.36125,-81.8935833333,"3_Run","Run","3",3,7010,NA,"Primary"
"40","Ocklawaha River",NA,173554,29.35475,-81.89025,"3_Run","Run","3",3,6843,NA,"Primary"
"41","Ocklawaha River",NA,177049,29.4744166667,-81.69575,"4_IB","IB","4",45,7748,NA,"Primary"
"42","Ocklawaha River",NA,177049,29.47425,-81.6994166667,"4_Run","Run","4",45,7697,NA,"Primary"
"43","Ocklawaha River",NA,177049,29.47575,-81.6980833333,"4_OB","OB","4",45,8316,NA,"Alternate"
"44","Ocklawaha River",NA,177094,29.4750833333,-81.7575833333,"4_IB","IB","4",41,7952,NA,"Primary"
"45","Ocklawaha River",NA,177094,29.47575,-81.7600833333,"4_Run","Run","4",41,8288,NA,"Alternate"
"46","Ocklawaha River",NA,177142,29.4815833333,-81.78575,"4_OB","OB","4",39,9033,NA,"Primary"
"47","Ocklawaha River",NA,177295,29.4740833333,-81.77375,"4_OB","OB","4",40,7601,NA,"Primary"
"48","Ocklawaha River",NA,177295,29.4765833333,-81.7794166667,"4_Run","Run","4",40,8426,NA,"Primary"
"49","Ocklawaha River",NA,177326,29.48075,-81.7169166667,"4_Run","Run","4",43,8918,NA,"Primary"
"50","Ocklawaha River",NA,177326,29.48225,-81.73325,"4_Run","Run","4",43,9156,NA,"Primary"
"51","Ocklawaha River",NA,177395,29.48075,-81.7154166667,"4_OB","OB","4",44,8924,NA,"Alternate"
"52","Ocklawaha River",NA,177395,29.47475,-81.7034166667,"4_Run","Run","4",44,7842,NA,"Alternate"
"53","Ocklawaha River",NA,177395,29.4785833333,-81.71075,"4_Run","Run","4",44,8658,NA,"Alternate"
"54","Ocklawaha River",NA,177725,29.49825,-81.8075833333,"4_Run","Run","4",36,10043,NA,"Primary"
"55","Ocklawaha River",NA,177725,29.4964166667,-81.8069166667,"4_IB","IB","4",36,9905,NA,"Alternate"
"56","Ocklawaha River",NA,177782,29.4840833333,-81.7864166667,"4_OB","OB","4",37,9460,NA,"Primary"
"57","Ocklawaha River",NA,177782,29.4994166667,-81.7990833333,"4_Run","Run","4",37,10086,NA,"Primary"
"58","Ocklawaha River",NA,177897,29.4834166667,-81.7305833333,"4_IB","IB","4",38,9377,NA,"Alternate"
"59","Ocklawaha River",NA,178575,29.5015833333,-81.79975,"4_Run","Run","4",35,10168,NA,"Primary"
