ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,29.47887551,-82.16798631,0,2019-10-02T17:12:29Z,,,Or_01,X: -82.16798631&lt;br&gt;Y: 29.47887547,X: -82.16798631&lt;br&gt;Y: 29.47887547,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
2,29.48273906,-82.17126011,0,2019-10-02T17:12:29Z,,,Or_02,X: -82.17126007&lt;br&gt;Y: 29.48273905,X: -82.17126007&lt;br&gt;Y: 29.48273905,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
3,29.48417547,-82.1748458,0,2019-10-02T17:12:29Z,,,Or_03,X: -82.17484579&lt;br&gt;Y: 29.48417546,X: -82.17484579&lt;br&gt;Y: 29.48417546,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
4,29.48817758,-82.17940229,0,2019-10-02T17:12:29Z,,,Or_04,X: -82.17940227&lt;br&gt;Y: 29.48817762,X: -82.17940227&lt;br&gt;Y: 29.48817762,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
5,29.48735045,-82.18398417,0,2019-10-02T17:12:29Z,,,Or_05,X: -82.18398419&lt;br&gt;Y: 29.48735044,X: -82.18398419&lt;br&gt;Y: 29.48735044,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
6,29.49285401,-82.18607537,0,2019-10-02T17:12:29Z,,,Or_06,X: -82.18607536&lt;br&gt;Y: 29.49285402,X: -82.18607536&lt;br&gt;Y: 29.49285402,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
7,29.49406528,-82.19311986,0,2019-10-02T17:12:29Z,,,Or_07,X: -82.19311983&lt;br&gt;Y: 29.49406524,X: -82.19311983&lt;br&gt;Y: 29.49406524,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
8,29.49729994,-82.19928165,0,2019-10-02T17:12:29Z,,,Or_08,X: -82.19928167&lt;br&gt;Y: 29.49729994,X: -82.19928167&lt;br&gt;Y: 29.49729994,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
9,29.499569,-82.20452788,0,2019-10-02T17:12:29Z,,,Or_09,X: -82.20452787&lt;br&gt;Y: 29.49956901,X: -82.20452787&lt;br&gt;Y: 29.49956901,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
10,29.50543709,-82.20662101,0,2019-10-02T17:12:29Z,,,Or_10,X: -82.20662105&lt;br&gt;Y: 29.50543706,X: -82.20662105&lt;br&gt;Y: 29.50543706,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
