"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1",NA,"Or_04",29.48817762,-82.17940227,"1",NA,"Orange Lake",NA,"Primary"
"2",NA,"Or_10",29.50543706,-82.20662105,"1",NA,"Orange Lake",NA,"Alternate"
"3",NA,"Or_15",29.48830403,-82.21533831,"1",NA,"Orange Lake",NA,"Primary"
"4",NA,"Or_17",29.48109839,-82.20649878,"1",NA,"Orange Lake",NA,"Primary"
"5",NA,"Or_19",29.47156651,-82.20136512,"1",NA,"Orange Lake",NA,"Primary"
"6",NA,"Or_20",29.4668169,-82.19753003,"1",NA,"Orange Lake",NA,"Alternate"
"7",NA,"Or_21",29.46405658,-82.19195993,"1",NA,"Orange Lake",NA,"Primary"
"8",NA,"Or_23",29.4527154,-82.18891733,"1",NA,"Orange Lake",NA,"Primary"
"9",NA,"Or_24",29.4520794,-82.195418,"1",NA,"Orange Lake",NA,"Primary"
"10",NA,"Or_27",29.45152205,-82.2084805,"1",NA,"Orange Lake",NA,"Primary"
"11",NA,"Or_28",29.44724635,-82.21096547,"1",NA,"Orange Lake",NA,"Primary"
"12",NA,"Or_29",29.44267887,-82.20714915,"1",NA,"Orange Lake",NA,"Primary"
"13",NA,"Or_31",29.43304616,-82.21071301,"1",NA,"Orange Lake",NA,"Primary"
"14",NA,"Or_33",29.42642574,-82.20176039,"1",NA,"Orange Lake",NA,"Primary"
"15",NA,"Or_36",29.42696084,-82.18478013,"1",NA,"Orange Lake",NA,"Primary"
"16",NA,"Or_38",29.43272893,-82.18867514,"1",NA,"Orange Lake",NA,"Primary"
"17",NA,"Or_39",29.43863735,-82.18598512,"1",NA,"Orange Lake",NA,"Primary"
"18",NA,"Or_40",29.43951998,-82.18013244,"1",NA,"Orange Lake",NA,"Primary"
"19",NA,"Or_44",29.43174679,-82.16281302,"1",NA,"Orange Lake",NA,"Primary"
"20",NA,"Or_46",29.42762629,-82.15275168,"1",NA,"Orange Lake",NA,"Alternate"
"21",NA,"Or_47",29.42505356,-82.14753214,"1",NA,"Orange Lake",NA,"Alternate"
"22",NA,"Or_48",29.42065339,-82.1454602,"1",NA,"Orange Lake",NA,"Alternate"
"23",NA,"Or_50",29.42338264,-82.14592896,"1",NA,"Orange Lake",NA,"Primary"
"24",NA,"Or_62",29.44454239,-82.13036826,"1",NA,"Orange Lake",NA,"Primary"
"25",NA,"Or_64",29.44244212,-82.13925826,"1",NA,"Orange Lake",NA,"Primary"
"26",NA,"Or_66",29.43624581,-82.1477683,"1",NA,"Orange Lake",NA,"Primary"
"27",NA,"Or_67",29.44067966,-82.15097489,"1",NA,"Orange Lake",NA,"Primary"
"28",NA,"Or_69",29.44964037,-82.15595586,"1",NA,"Orange Lake",NA,"Primary"
"29",NA,"Or_72",29.46394514,-82.16589769,"1",NA,"Orange Lake",NA,"Primary"
"30",NA,"Or_74",29.47452208,-82.16521781,"1",NA,"Orange Lake",NA,"Primary"
