name,lat,lon
RR01,29.52177392,-81.80347636
RR02,29.51869986,-81.80699886
RR03,29.51301794,-81.80398975
RR04,29.50826037,-81.80585473
RR05,29.50411895,-81.81197586
RR06,29.50445725,-81.81869329
RR07,29.50743366,-81.82391957
RR08,29.50949326,-81.83053901
RR09,29.51071643,-81.83674682
RR10,29.50950667,-81.8418374
RR11,29.50966836,-81.84766333
RR12,29.5108145,-81.85430816
RR13,29.51427195,-81.856954
RR14,29.51338808,-81.86354896
RR15,29.51235744,-81.87009447
RR16,29.51032642,-81.87708045
RR17,29.50619775,-81.88129605
RR18,29.50604226,-81.88824557
RR19,29.50954892,-81.89365215
RR20,29.50918699,-81.89981377
RR21,29.50776776,-81.90701315
RR22,29.50244609,-81.91128507
RR23,29.49735819,-81.91261771
RR24,29.49209193,-81.91317343
RR25,29.48726747,-81.91138641
RR26,29.48168823,-81.91113177
RR27,29.47606212,-81.9145805
RR28,29.47723391,-81.91945818
RR29,29.48352713,-81.92069066
RR30,29.4895756,-81.92029101
RR31,29.49545307,-81.9188722
RR32,29.5010775,-81.91823392
RR33,29.50504918,-81.91355003
RR34,29.50782954,-81.91040925
RR35,29.51088642,-81.90974792
RR36,29.51388177,-81.90559217
RR37,29.51820457,-81.90254132
RR38,29.51933982,-81.89518436
RR39,29.51502054,-81.89113841
RR40,29.51569621,-81.88350552
RR41,29.51728734,-81.87601972
RR42,29.51894285,-81.86855346
RR43,29.52340655,-81.86476467
RR44,29.52795692,-81.86139272
RR45,29.5293888,-81.85491686
RR46,29.53114858,-81.84807287
RR47,29.53496804,-81.84273267
RR48,29.53717366,-81.8373618
RR49,29.53739905,-81.83308854
RR50,29.53198425,-81.82978255
RR51,29.52754386,-81.8242411
RR52,29.5274012,-81.81668038
RR53,29.52595666,-81.81513626
RR54,29.52690742,-81.80755089
RR57,29.52495846,-81.81018851
RR58,29.525914,-81.80262887
