"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1",NA,"RR04",29.50826037,-81.80585473,NA,NA,"Rodman",NA,"Primary"
"2",NA,"RR05",29.50411895,-81.81197586,NA,NA,"Rodman",NA,"Primary"
"3",NA,"RR06",29.50445725,-81.81869329,NA,NA,"Rodman",NA,"Primary"
"4",NA,"RR08",29.50949326,-81.83053901,NA,NA,"Rodman",NA,"Primary"
"5",NA,"RR09",29.51071643,-81.83674682,NA,NA,"Rodman",NA,"Primary"
"6",NA,"RR10",29.50950667,-81.8418374,NA,NA,"Rodman",NA,"Primary"
"7",NA,"RR11",29.50966836,-81.84766333,NA,NA,"Rodman",NA,"Primary"
"8",NA,"RR13",29.51427195,-81.856954,NA,NA,"Rodman",NA,"Primary"
"9",NA,"RR14",29.51338808,-81.86354896,NA,NA,"Rodman",NA,"Primary"
"10",NA,"RR15",29.51235744,-81.87009447,NA,NA,"Rodman",NA,"Primary"
"11",NA,"RR18",29.50604226,-81.88824557,NA,NA,"Rodman",NA,"Alternate"
"12",NA,"RR19",29.50954892,-81.89365215,NA,NA,"Rodman",NA,"Primary"
"13",NA,"RR24",29.49209193,-81.91317343,NA,NA,"Rodman",NA,"Primary"
"14",NA,"RR25",29.48726747,-81.91138641,NA,NA,"Rodman",NA,"Alternate"
"15",NA,"RR30",29.4895756,-81.92029101,NA,NA,"Rodman",NA,"Primary"
"16",NA,"RR31",29.49545307,-81.9188722,NA,NA,"Rodman",NA,"Primary"
"17",NA,"RR33",29.50504918,-81.91355003,NA,NA,"Rodman",NA,"Primary"
"18",NA,"RR34",29.50782954,-81.91040925,NA,NA,"Rodman",NA,"Alternate"
"19",NA,"RR35",29.51088642,-81.90974792,NA,NA,"Rodman",NA,"Primary"
"20",NA,"RR37",29.51820457,-81.90254132,NA,NA,"Rodman",NA,"Primary"
"21",NA,"RR38",29.51933982,-81.89518436,NA,NA,"Rodman",NA,"Primary"
"22",NA,"RR39",29.51502054,-81.89113841,NA,NA,"Rodman",NA,"Primary"
"23",NA,"RR42",29.51894285,-81.86855346,NA,NA,"Rodman",NA,"Primary"
"24",NA,"RR46",29.53114858,-81.84807287,NA,NA,"Rodman",NA,"Alternate"
"25",NA,"RR47",29.53496804,-81.84273267,NA,NA,"Rodman",NA,"Primary"
"26",NA,"RR49",29.53739905,-81.83308854,NA,NA,"Rodman",NA,"Primary"
"27",NA,"RR52",29.5274012,-81.81668038,NA,NA,"Rodman",NA,"Primary"
"28",NA,"RR53",29.52595666,-81.81513626,NA,NA,"Rodman",NA,"Primary"
"29",NA,"RR57",29.52495846,-81.81018851,NA,NA,"Rodman",NA,"Primary"
"30",NA,"RR58",29.525914,-81.80262887,NA,NA,"Rodman",NA,"Alternate"
