"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","Strata","selection"
"1","WAYPOINT","SFR1081",29.92226667,-82.56371667,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"2","WAYPOINT","SFR1091",29.92255,-82.56206667,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"3","WAYPOINT","SFR1108",29.92838333,-82.55388333,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"4","WAYPOINT","SFR1134",29.9252,-82.54251667,"1",FALSE,"Santa Fe River",FALSE,1,"Alternate"
"5","WAYPOINT","SFR1155",29.92928333,-82.53815,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"6","WAYPOINT","SFR1157",29.9291,-82.53713333,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"7","WAYPOINT","SFR1174",29.93558333,-82.5291,"1",FALSE,"Santa Fe River",FALSE,1,"Alternate"
"8","WAYPOINT","SFR0728",29.83101667,-82.66383333,"2",FALSE,"Santa Fe River",FALSE,2,"Alternate"
"9","WAYPOINT","SFR0736",29.82963333,-82.66016667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"10","WAYPOINT","SFR0771",29.827,-82.64721667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"11","WAYPOINT","SFR0786",29.82983333,-82.63901667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"12","WAYPOINT","SFR0788",29.83043333,-82.63825,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"13","WAYPOINT","SFR0820",29.84191667,-82.6311,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"14","WAYPOINT","SFR0828",29.84513333,-82.63111667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"15","WAYPOINT","SFR0855",29.84881667,-82.62503333,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"16","WAYPOINT","SFR0915",29.8568,-82.61585,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"17","WAYPOINT","SFR0928",29.85231667,-82.60915,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"18","WAYPOINT","SFR0943",29.85401667,-82.60506667,"2",FALSE,"Santa Fe River",FALSE,2,"Alternate"
"19","WAYPOINT","SFR0995",29.86696667,-82.58775,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"20","WAYPOINT","SFR1011",29.87221667,-82.58981667,"2",FALSE,"Santa Fe River",FALSE,2,"Alternate"
"21","WAYPOINT","SFR0238",29.93231667,-82.79615,"3",FALSE,"Santa Fe River",FALSE,3,"Alternate"
"22","WAYPOINT","SFR0284",29.92835,-82.78241667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"23","WAYPOINT","SFR0301",29.92715,-82.77671667,"3",FALSE,"Santa Fe River",FALSE,3,"Alternate"
"24","WAYPOINT","SFR0310",29.92818333,-82.77216667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"25","WAYPOINT","SFR0328",29.92298333,-82.7717,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"26","WAYPOINT","SFR0354",29.91331667,-82.77401667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"27","WAYPOINT","SFR0387",29.9067,-82.76608333,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"28","WAYPOINT","SFR0412",29.89683333,-82.76726667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"29","WAYPOINT","SFR0510",29.86931667,-82.7452,"3",FALSE,"Santa Fe River",FALSE,3,"Alternate"
"30","WAYPOINT","SFR0522",29.86558333,-82.74111667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"31","WAYPOINT","SFR0541",29.8619,-82.73616667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"32","WAYPOINT","SFR0543",29.861,-82.73616667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"33","WAYPOINT","SFR0547",29.85965,-82.73515,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"34","WAYPOINT","SFR0584",29.85146667,-82.71921667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"35","WAYPOINT","SFR0612",29.84623333,-82.71081667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"36","WAYPOINT","SFR0642",29.83888333,-82.70236667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"37","WAYPOINT","SFR0686",29.83258333,-82.68228333,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"38","WAYPOINT","SFR0006",29.88888333,-82.87813333,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"39","WAYPOINT","SFR0020",29.89291667,-82.87371667,"4",FALSE,"Santa Fe River",FALSE,4,"Alternate"
"40","WAYPOINT","SFR0069",29.90893333,-82.8649,"4",FALSE,"Santa Fe River",FALSE,4,"Alternate"
"41","WAYPOINT","SFR0106",29.91336667,-82.84728333,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"42","WAYPOINT","SFR0135",29.91423333,-82.83583333,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
