"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1","WAYPOINT","SUW0018",29.30498159,-83.1530019,"1",FALSE,"Suwannee River",FALSE,"Primary"
"2","WAYPOINT","SUW0063",29.31796433,-83.12234398,"1",FALSE,"Suwannee River",FALSE,"Primary"
"3","WAYPOINT","SUW0064",29.3177132,-83.12136602,"1",FALSE,"Suwannee River",FALSE,"Primary"
"4","WAYPOINT","SUW0071",29.3176232,-83.11448694,"1",FALSE,"Suwannee River",FALSE,"Primary"
"5","WAYPOINT","SUW0109",29.33358139,-83.09393717,"1",FALSE,"Suwannee River",FALSE,"Primary"
"6","WAYPOINT","SUW0113",29.33364176,-83.09026354,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"7","WAYPOINT","SUW0161",29.35233239,-83.06992386,"1",FALSE,"Suwannee River",FALSE,"Primary"
"8","WAYPOINT","SUW0206",29.37830124,-83.05251752,"1",FALSE,"Suwannee River",FALSE,"Primary"
"9","WAYPOINT","SUW0285",29.41883201,-83.02004043,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"10","WAYPOINT","SUW0334",29.45231201,-83.00580178,"1",FALSE,"Suwannee River",FALSE,"Primary"
"11","WAYPOINT","SUW0608",29.61623094,-82.96783706,"1",FALSE,"Suwannee River",FALSE,"Primary"
"12","WAYPOINT","SUW0648",29.64414346,-82.95597375,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"13","WAYPOINT","SUW0707",29.68829804,-82.9577639,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"14","WAYPOINT","SUW0812",29.7269088,-82.94951564,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"15","WAYPOINT","SUW0813",29.72763512,-82.94890349,"1",FALSE,"Suwannee River",FALSE,"Primary"
"16","WAYPOINT","SUW0850",29.75299425,-82.94511327,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"17","WAYPOINT","SUW0916",29.79778666,-82.92078818,"2",FALSE,"Suwannee River",FALSE,"Primary"
"18","WAYPOINT","SUW0971",29.82063787,-82.91199938,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"19","WAYPOINT","SUW0981",29.82496628,-82.90315382,"2",FALSE,"Suwannee River",FALSE,"Primary"
"20","WAYPOINT","SUW1049",29.87466062,-82.87631985,"2",FALSE,"Suwannee River",FALSE,"Primary"
"21","WAYPOINT","SUW1062",29.88590741,-82.87704392,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"22","WAYPOINT","SUW1094",29.88772742,-82.88591342,"2",FALSE,"Suwannee River",FALSE,"Primary"
"23","WAYPOINT","SUW1221",29.94775116,-82.92564118,"2",FALSE,"Suwannee River",FALSE,"Primary"
"24","WAYPOINT","SUW1270",29.97128029,-82.95874812,"2",FALSE,"Suwannee River",FALSE,"Primary"
"25","WAYPOINT","SUW1429",30.06252083,-83.05850564,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"26","WAYPOINT","SUW1516",30.10328554,-83.11516157,"2",FALSE,"Suwannee River",FALSE,"Primary"
"27","WAYPOINT","SUW1560",30.10492954,-83.15177036,"2",FALSE,"Suwannee River",FALSE,"Primary"
"28","WAYPOINT","SUW1564",30.10718551,-83.15500616,"2",FALSE,"Suwannee River",FALSE,"Primary"
"29","WAYPOINT","SUW1565",30.10768728,-83.15586901,"2",FALSE,"Suwannee River",FALSE,"Primary"
"30","WAYPOINT","SUW1586",30.09962638,-83.16958736,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"31","WAYPOINT","SUW1735",30.17428162,-83.24169176,"3",FALSE,"Suwannee River",FALSE,"Primary"
"32","WAYPOINT","SUW1745",30.18134958,-83.24798281,"3",FALSE,"Suwannee River",FALSE,"Alternate"
"33","WAYPOINT","SUW1765",30.19907372,-83.24992815,"3",FALSE,"Suwannee River",FALSE,"Primary"
"34","WAYPOINT","SUW1863",30.26069171,-83.24772193,"3",FALSE,"Suwannee River",FALSE,"Primary"
"35","WAYPOINT","SUW1887",30.2717909,-83.23760269,"3",FALSE,"Suwannee River",FALSE,"Primary"
"36","WAYPOINT","SUW1916",30.29598449,-83.23040471,"3",FALSE,"Suwannee River",FALSE,"Alternate"
"37","WAYPOINT","SUW1917",30.29681137,-83.23000631,"3",FALSE,"Suwannee River",FALSE,"Primary"
"38","WAYPOINT","SUW1919",30.29835429,-83.22893486,"3",FALSE,"Suwannee River",FALSE,"Alternate"
"39","WAYPOINT","SUW1940",30.30889464,-83.21136707,"3",FALSE,"Suwannee River",FALSE,"Alternate"
"40","WAYPOINT","SUW1998",30.35118982,-83.2024492,"3",FALSE,"Suwannee River",FALSE,"Alternate"
"41","WAYPOINT","SUW2290",30.43000961,-83.03220643,"3",FALSE,"Suwannee River",FALSE,"Primary"
"42","WAYPOINT","SUW2324",30.42805884,-83.00422872,"3",FALSE,"Suwannee River",FALSE,"Primary"
"43","WAYPOINT","SUW2487",30.3864792,-82.90323619,"3",FALSE,"Suwannee River",FALSE,"Primary"
