type,ident,Latitude,Longitude,Zone,Boundary,Waterbody,Exclude
WAYPOINT,SFR0001,29.88726667,-82.88003333,4,TRUE,Santa Fe River,FALSE
WAYPOINT,SFR0002,29.88746667,-82.87923333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0003,29.88808333,-82.8797,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0004,29.88828333,-82.8789,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0005,29.88883333,-82.87913333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0006,29.88888333,-82.87813333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0007,29.88938333,-82.87833333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0008,29.88936667,-82.87725,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0009,29.8898,-82.8774,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0010,29.88961667,-82.87625,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0011,29.89005,-82.87641667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0012,29.88983333,-82.87525,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0013,29.89031667,-82.87541667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0014,29.89031667,-82.8744,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0015,29.89091667,-82.87466667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0016,29.89113333,-82.87401667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0017,29.89178333,-82.87445,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0018,29.89203333,-82.87393333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0019,29.89268333,-82.87441667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0020,29.89291667,-82.87371667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0021,29.8935,-82.8741,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0022,29.89378333,-82.87348333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0023,29.89435,-82.8738,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0024,29.89463333,-82.87311667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0025,29.8952,-82.87345,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0026,29.89548333,-82.87276667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0027,29.89603333,-82.87306667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0028,29.89631667,-82.87238333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0029,29.89688333,-82.87276667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0030,29.89713333,-82.87195,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0031,29.89768333,-82.87228333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0032,29.89795,-82.87153333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0033,29.89846667,-82.87176667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0034,29.89845,-82.87071667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0035,29.89888333,-82.8709,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0036,29.89821667,-82.86971667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0037,29.89878333,-82.86986667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0038,29.898,-82.86871667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0039,29.89853333,-82.86888333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0040,29.89811667,-82.8677,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0041,29.89853333,-82.86785,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0042,29.89846667,-82.86675,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0043,29.89893333,-82.86693333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0044,29.89918333,-82.86615,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0045,29.89978333,-82.86668333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0046,29.90006667,-82.86616667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0047,29.90065,-82.86688333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0048,29.90093333,-82.86636667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0049,29.90143333,-82.86741667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0050,29.90171667,-82.86688333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0051,29.90226667,-82.86766667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0052,29.90256667,-82.86718333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0053,29.90316667,-82.86765,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0054,29.90331667,-82.86676667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0055,29.90385,-82.86705,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0056,29.90368333,-82.86581667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0057,29.90411667,-82.86606667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0058,29.90426667,-82.86505,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0059,29.90468333,-82.8653,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0060,29.90505,-82.86458333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0061,29.90553333,-82.86501667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0062,29.90595,-82.86443333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0063,29.90643333,-82.86488333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0064,29.90681667,-82.8642,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0065,29.90726667,-82.86451667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0066,29.90766667,-82.86383333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0067,29.90813333,-82.8645,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0068,29.9085,-82.86401667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0069,29.90893333,-82.8649,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0070,29.90931667,-82.86415,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0071,29.90976667,-82.86458333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0072,29.91011667,-82.86366667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0073,29.91051667,-82.8641,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0074,29.91078333,-82.86298333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0075,29.91111667,-82.86336667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0076,29.91116667,-82.86206667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0077,29.91156667,-82.86246667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0078,29.91133333,-82.86103333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0079,29.91178333,-82.86146667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0080,29.91145,-82.86001667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0081,29.9119,-82.86045,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0082,29.91136667,-82.85898333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0083,29.91193333,-82.85943333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0084,29.91143333,-82.85796667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0085,29.91183333,-82.8584,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0086,29.91186667,-82.85706667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0087,29.91216667,-82.85746667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0088,29.91243333,-82.85626667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0089,29.91273333,-82.85665,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0090,29.91295,-82.85541667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0091,29.91323333,-82.85578333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0092,29.91321667,-82.85443333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0093,29.91363333,-82.85486667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0094,29.91335,-82.85341667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0095,29.91375,-82.85385,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0096,29.91361667,-82.85241667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0097,29.91396667,-82.85283333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0098,29.91375,-82.8514,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0099,29.91415,-82.85181667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0100,29.91373333,-82.85036667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0101,29.91416667,-82.85078333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0102,29.91368333,-82.84933333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0103,29.91423333,-82.84978333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0104,29.91353333,-82.84831667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0105,29.91416667,-82.84875,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0106,29.91336667,-82.84728333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0107,29.91393333,-82.84775,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0108,29.91306667,-82.84631667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0109,29.91366667,-82.84678333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0110,29.9127,-82.84536667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0111,29.91336667,-82.8458,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0112,29.91235,-82.84441667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0113,29.91301667,-82.84485,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0114,29.91193333,-82.8435,4,FALSE,Santa Fe River,FALSE
