"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1",NA,"Loch_01",29.54760443,-82.13304626,"1",NA,"Lochloosa Lake",NA,"Primary"
"2",NA,"Loch_02",29.54419132,-82.13973468,"1",NA,"Lochloosa Lake",NA,"Primary"
"3",NA,"Loch_03",29.53777422,-82.14212487,"1",NA,"Lochloosa Lake",NA,"Primary"
"4",NA,"Loch_04",29.53149098,-82.14494621,"1",NA,"Lochloosa Lake",NA,"Primary"
"5",NA,"Loch_05",29.52543983,-82.14837282,"1",NA,"Lochloosa Lake",NA,"Primary"
"6",NA,"Loch_06",29.51888636,-82.15021013,"1",NA,"Lochloosa Lake",NA,"Primary"
"7",NA,"Loch_07",29.51244445,-82.14791014,"1",NA,"Lochloosa Lake",NA,"Primary"
"8",NA,"Loch_08",29.50582953,-82.14942894,"1",NA,"Lochloosa Lake",NA,"Primary"
"9",NA,"Loch_09",29.50179658,-82.15564211,"1",NA,"Lochloosa Lake",NA,"Primary"
"10",NA,"Loch_10",29.49819043,-82.16219215,"1",NA,"Lochloosa Lake",NA,"Primary"
"11",NA,"Loch_11",29.49801508,-82.15444442,"1",NA,"Lochloosa Lake",NA,"Primary"
"12",NA,"Loch_12",29.50082445,-82.14739792,"1",NA,"Lochloosa Lake",NA,"Alternate"
"13",NA,"Loch_13",29.50600044,-82.14242754,"1",NA,"Lochloosa Lake",NA,"Primary"
"14",NA,"Loch_14",29.50661735,-82.13470889,"1",NA,"Lochloosa Lake",NA,"Primary"
"15",NA,"Loch_15",29.5004662,-82.13152687,"1",NA,"Lochloosa Lake",NA,"Primary"
"16",NA,"Loch_16",29.49548836,-82.12629631,"1",NA,"Lochloosa Lake",NA,"Primary"
"17",NA,"Loch_17",29.49403913,-82.1187272,"1",NA,"Lochloosa Lake",NA,"Primary"
"18",NA,"Loch_18",29.49636209,-82.11145096,"1",NA,"Lochloosa Lake",NA,"Primary"
"19",NA,"Loch_19",29.50162358,-82.1066006,"1",NA,"Lochloosa Lake",NA,"Primary"
"20",NA,"Loch_20",29.50805468,-82.10426113,"1",NA,"Lochloosa Lake",NA,"Primary"
"21",NA,"Loch_21",29.51477495,-82.10493327,"1",NA,"Lochloosa Lake",NA,"Alternate"
"22",NA,"Loch_22",29.52086373,-82.10827019,"1",NA,"Lochloosa Lake",NA,"Primary"
"23",NA,"Loch_23",29.52739273,-82.11021957,"1",NA,"Lochloosa Lake",NA,"Primary"
"24",NA,"Loch_24",29.53390648,-82.11223542,"1",NA,"Lochloosa Lake",NA,"Primary"
"25",NA,"Loch_25",29.53952881,-82.11651974,"1",NA,"Lochloosa Lake",NA,"Primary"
"26",NA,"Loch_26",29.54429249,-82.12200964,"1",NA,"Lochloosa Lake",NA,"Primary"
"27",NA,"Loch_27",29.54779085,-82.12940298,"1",NA,"Lochloosa Lake",NA,"Primary"
