"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1",NA,"NL_EF_01a",29.63881069,-82.20313531,"1",NA,"Newnans Lake",NA,"Primary"
"2",NA,"NL_EF_02",29.64318537,-82.20031723,"1",NA,"Newnans Lake",NA,"Alternate"
"3",NA,"NL_EF_03",29.64989391,-82.19950352,"1",NA,"Newnans Lake",NA,"Primary"
"4",NA,"NL_EF_04",29.65663766,-82.19968633,"1",NA,"Newnans Lake",NA,"Primary"
"5",NA,"NL_EF_05",29.66295384,-82.20241229,"1",NA,"Newnans Lake",NA,"Primary"
"6",NA,"NL_EF_06",29.66880784,-82.20626998,"1",NA,"Newnans Lake",NA,"Primary"
"7",NA,"NL_EF_07",29.67252388,-82.21274944,"1",NA,"Newnans Lake",NA,"Primary"
"8",NA,"NL_EF_08",29.67490274,-82.22001454,"1",NA,"Newnans Lake",NA,"Primary"
"9",NA,"NL_EF_09",29.67487316,-82.22777836,"1",NA,"Newnans Lake",NA,"Primary"
"10",NA,"NL_EF_10",29.67093199,-82.23407946,"1",NA,"Newnans Lake",NA,"Primary"
"11",NA,"NL_EF_11",29.66448915,-82.2363792,"1",NA,"Newnans Lake",NA,"Primary"
"12",NA,"NL_EF_12",29.6577434,-82.23634793,"1",NA,"Newnans Lake",NA,"Primary"
"13",NA,"NL_EF_13",29.65099856,-82.23647056,"1",NA,"Newnans Lake",NA,"Primary"
"14",NA,"NL_EF_14",29.64426546,-82.23694707,"1",NA,"Newnans Lake",NA,"Primary"
"15",NA,"NL_EF_15",29.63753798,-82.23637694,"1",NA,"Newnans Lake",NA,"Primary"
"16",NA,"NL_EF_16",29.63505819,-82.24359451,"1",NA,"Newnans Lake",NA,"Primary"
"17",NA,"NL_EF_17",29.63007532,-82.24882557,"1",NA,"Newnans Lake",NA,"Primary"
"18",NA,"NL_EF_18",29.62334138,-82.24928599,"1",NA,"Newnans Lake",NA,"Primary"
"19",NA,"NL_EF_19",29.61670912,-82.25070278,"1",NA,"Newnans Lake",NA,"Primary"
"20",NA,"NL_EF_20",29.61576322,-82.2430201,"1",NA,"Newnans Lake",NA,"Primary"
"21",NA,"NL_EF_21",29.61554613,-82.23526457,"1",NA,"Newnans Lake",NA,"Primary"
"22",NA,"NL_EF_22",29.61671582,-82.22762271,"1",NA,"Newnans Lake",NA,"Primary"
"23",NA,"NL_EF_23",29.62050444,-82.22120251,"1",NA,"Newnans Lake",NA,"Primary"
"24",NA,"NL_EF_24",29.62322814,-82.2141032,"1",NA,"Newnans Lake",NA,"Primary"
"25",NA,"NL_EF_25",29.62770282,-82.20829605,"1",NA,"Newnans Lake",NA,"Primary"
"26",NA,"NL_EF_26",29.63436769,-82.20709895,"1",NA,"Newnans Lake",NA,"Primary"
