Minigrid,X,Y,FID_1_1,OBJECTID,GRID,REGION,Habitat,River Segment,
1,-81.89175,29.08341668,1,165203,33,Ocklawaha,Run,1,
2,-81.89158333,29.08341668,2,165203,33,Ocklawaha,Run,1,
3,-81.89141667,29.08341668,3,165203,33,Ocklawaha,Run,1,
4,-81.89125,29.08341668,4,165203,33,Ocklawaha,Run,1,
5,-81.89108333,29.08341668,5,165203,33,Ocklawaha,Run,1,
6,-81.89091667,29.08341668,6,165203,33,Ocklawaha,Run,1,
7,-81.89075,29.08341668,7,165203,33,Ocklawaha,Run,1,
8,-81.89058333,29.08341668,8,165203,33,Ocklawaha,Run,1,
9,-81.89041667,29.08341668,9,165203,33,Ocklawaha,Run,1,
11,-81.89208333,29.08358333,11,165203,33,Ocklawaha,Run,1,
12,-81.89191667,29.08358333,12,165203,33,Ocklawaha,Run,1,
13,-81.89158333,29.08358333,13,165203,33,Ocklawaha,Run,1,
14,-81.89141667,29.08358333,14,165203,33,Ocklawaha,Run,1,
15,-81.89208333,29.08375,15,165203,33,Ocklawaha,Run,1,
16,-81.89175,29.08375,16,165203,33,Ocklawaha,Run,1,
18,-81.89225,29.08391667,18,165203,33,Ocklawaha,Run,1,
19,-81.89208333,29.08391667,19,165203,33,Ocklawaha,Run,1,
20,-81.89191667,29.08391667,20,165203,33,Ocklawaha,Run,1,
21,-81.89175,29.08391667,21,165203,33,Ocklawaha,Run,1,
23,-81.89225,29.08408333,23,165203,33,Ocklawaha,Run,1,
24,-81.89208333,29.08408333,24,165203,33,Ocklawaha,Run,1,
25,-81.89191667,29.08408333,25,165203,33,Ocklawaha,Run,1,
26,-81.89241667,29.08425,26,165203,33,Ocklawaha,Run,1,
27,-81.89208333,29.08425,27,165203,33,Ocklawaha,Run,1,
28,-81.89258333,29.08441667,28,165203,33,Ocklawaha,Run,1,
29,-81.89241667,29.08441667,29,165203,33,Ocklawaha,Run,1,
30,-81.89225,29.08441667,30,165203,33,Ocklawaha,Run,1,
31,-81.89208333,29.08441667,31,165203,33,Ocklawaha,Run,1,
32,-81.89275,29.08458333,32,165203,33,Ocklawaha,Run,1,
33,-81.89258333,29.08458333,33,165203,33,Ocklawaha,Run,1,
34,-81.89241667,29.08458333,34,165203,33,Ocklawaha,Run,1,
35,-81.89225,29.08458333,35,165203,33,Ocklawaha,Run,1,
36,-81.89275,29.08475,36,165203,33,Ocklawaha,Run,1,
37,-81.89258333,29.08475,37,165203,33,Ocklawaha,Run,1,
38,-81.89241667,29.08475,38,165203,33,Ocklawaha,Run,1,
40,-81.89308333,29.08491667,40,165203,33,Ocklawaha,Run,1,
41,-81.89291667,29.08491667,41,165203,33,Ocklawaha,Run,1,
