"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1",NA,"RR01",29.52177392,-81.80347636,NA,NA,"Rodman",NA,"Primary"
"2",NA,"RR02",29.51869986,-81.80699886,NA,NA,"Rodman",NA,"Alternate"
"3",NA,"RR03",29.51301794,-81.80398975,NA,NA,"Rodman",NA,"Alternate"
"4",NA,"RR04",29.50826037,-81.80585473,NA,NA,"Rodman",NA,"Primary"
"5",NA,"RR05",29.50411895,-81.81197586,NA,NA,"Rodman",NA,"Primary"
"6",NA,"RR14",29.51338808,-81.86354896,NA,NA,"Rodman",NA,"Primary"
"7",NA,"RR15",29.51235744,-81.87009447,NA,NA,"Rodman",NA,"Primary"
"8",NA,"RR16",29.51032642,-81.87708045,NA,NA,"Rodman",NA,"Primary"
"9",NA,"RR17",29.50619775,-81.88129605,NA,NA,"Rodman",NA,"Primary"
"10",NA,"RR19",29.50954892,-81.89365215,NA,NA,"Rodman",NA,"Primary"
"11",NA,"RR21",29.50776776,-81.90701315,NA,NA,"Rodman",NA,"Primary"
"12",NA,"RR23",29.49735819,-81.91261771,NA,NA,"Rodman",NA,"Primary"
"13",NA,"RR24",29.49209193,-81.91317343,NA,NA,"Rodman",NA,"Alternate"
"14",NA,"RR25",29.48726747,-81.91138641,NA,NA,"Rodman",NA,"Primary"
"15",NA,"RR28",29.47723391,-81.91945818,NA,NA,"Rodman",NA,"Primary"
"16",NA,"RR31",29.49545307,-81.9188722,NA,NA,"Rodman",NA,"Alternate"
"17",NA,"RR32",29.5010775,-81.91823392,NA,NA,"Rodman",NA,"Primary"
"18",NA,"RR34",29.50782954,-81.91040925,NA,NA,"Rodman",NA,"Primary"
"19",NA,"RR38",29.51933982,-81.89518436,NA,NA,"Rodman",NA,"Primary"
"20",NA,"RR39",29.51502054,-81.89113841,NA,NA,"Rodman",NA,"Primary"
"21",NA,"RR45",29.5293888,-81.85491686,NA,NA,"Rodman",NA,"Primary"
"22",NA,"RR46",29.53114858,-81.84807287,NA,NA,"Rodman",NA,"Alternate"
"23",NA,"RR47",29.53496804,-81.84273267,NA,NA,"Rodman",NA,"Primary"
"24",NA,"RR48",29.53717366,-81.8373618,NA,NA,"Rodman",NA,"Primary"
"25",NA,"RR49",29.53739905,-81.83308854,NA,NA,"Rodman",NA,"Primary"
"26",NA,"RR50",29.53198425,-81.82978255,NA,NA,"Rodman",NA,"Primary"
"27",NA,"RR51",29.52754386,-81.8242411,NA,NA,"Rodman",NA,"Primary"
"28",NA,"RR52",29.5274012,-81.81668038,NA,NA,"Rodman",NA,"Primary"
"29",NA,"RR57",29.52495846,-81.81018851,NA,NA,"Rodman",NA,"Primary"
"30",NA,"RR58",29.525914,-81.80262887,NA,NA,"Rodman",NA,"Primary"
