"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","selection"
"1","WAYPOINT","SUW0094",29.33115412,-83.10198491,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"2","WAYPOINT","SUW0135",29.3433649,-83.07155848,"1",FALSE,"Suwannee River",FALSE,"Primary"
"3","WAYPOINT","SUW0136",29.34353486,-83.07054548,"1",FALSE,"Suwannee River",FALSE,"Primary"
"4","WAYPOINT","SUW0150",29.35137667,-83.0600592,"1",FALSE,"Suwannee River",FALSE,"Primary"
"5","WAYPOINT","SUW0209",29.37862491,-83.04944694,"1",FALSE,"Suwannee River",FALSE,"Primary"
"6","WAYPOINT","SUW0411",29.50618902,-82.98324835,"1",FALSE,"Suwannee River",FALSE,"Primary"
"7","WAYPOINT","SUW0422",29.5159761,-82.98261983,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"8","WAYPOINT","SUW0450",29.5288283,-82.97563388,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"9","WAYPOINT","SUW0468",29.54206864,-82.9742151,"1",FALSE,"Suwannee River",FALSE,"Primary"
"10","WAYPOINT","SUW0567",29.58649564,-82.95580296,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"11","WAYPOINT","SUW0623",29.62761943,-82.97128038,"1",FALSE,"Suwannee River",FALSE,"Alternate"
"12","WAYPOINT","SUW0637",29.63601596,-82.9609038,"1",FALSE,"Suwannee River",FALSE,"Primary"
"13","WAYPOINT","SUW0771",29.71576136,-82.95533715,"1",FALSE,"Suwannee River",FALSE,"Primary"
"14","WAYPOINT","SUW0808",29.72347088,-82.94970196,"1",FALSE,"Suwannee River",FALSE,"Primary"
"15","WAYPOINT","SUW0813",29.72763512,-82.94890349,"1",FALSE,"Suwannee River",FALSE,"Primary"
"16","WAYPOINT","SUW0887",29.7799102,-82.93857672,"2",FALSE,"Suwannee River",FALSE,"Primary"
"17","WAYPOINT","SUW0984",29.82541993,-82.9001002,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"18","WAYPOINT","SUW1111",29.89908494,-82.89437664,"2",FALSE,"Suwannee River",FALSE,"Primary"
"19","WAYPOINT","SUW1185",29.91997628,-82.92316283,"2",FALSE,"Suwannee River",FALSE,"Primary"
"20","WAYPOINT","SUW1201",29.93089109,-82.92112821,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"21","WAYPOINT","SUW1250",29.95786447,-82.94800028,"2",FALSE,"Suwannee River",FALSE,"Primary"
"22","WAYPOINT","SUW1270",29.97128029,-82.95874812,"2",FALSE,"Suwannee River",FALSE,"Primary"
"23","WAYPOINT","SUW1316",30.00408909,-82.97676789,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"24","WAYPOINT","SUW1384",30.0395277,-83.02244193,"2",FALSE,"Suwannee River",FALSE,"Primary"
"25","WAYPOINT","SUW1393",30.04479165,-83.02942549,"2",FALSE,"Suwannee River",FALSE,"Primary"
"26","WAYPOINT","SUW1436",30.06462117,-83.0653202,"2",FALSE,"Suwannee River",FALSE,"Primary"
"27","WAYPOINT","SUW1439",30.06636143,-83.06768795,"2",FALSE,"Suwannee River",FALSE,"Primary"
"28","WAYPOINT","SUW1529",30.10130751,-83.12584418,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"29","WAYPOINT","SUW1537",30.09685002,-83.13231093,"2",FALSE,"Suwannee River",FALSE,"Primary"
"30","WAYPOINT","SUW1679",30.13449084,-83.22467829,"2",FALSE,"Suwannee River",FALSE,"Alternate"
"31","WAYPOINT","SUW1775",30.20766803,-83.24726619,"3",FALSE,"Suwannee River",FALSE,"Primary"
"32","WAYPOINT","SUW1780",30.21164228,-83.24482896,"3",FALSE,"Suwannee River",FALSE,"Primary"
"33","WAYPOINT","SUW1799",30.22763648,-83.24005936,"3",FALSE,"Suwannee River",FALSE,"Primary"
"34","WAYPOINT","SUW1808",30.23078539,-83.24854584,"3",FALSE,"Suwannee River",FALSE,"Primary"
"35","WAYPOINT","SUW1825",30.24408565,-83.25026443,"3",FALSE,"Suwannee River",FALSE,"Primary"
"36","WAYPOINT","SUW1840",30.24955464,-83.24635597,"3",FALSE,"Suwannee River",FALSE,"Alternate"
