"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","Strata","selection"
"1","WAYPOINT","SUW0043",29.32345727,-83.14076525,"1",FALSE,"Suwannee River",FALSE,1,"Alternate"
"2","WAYPOINT","SUW0047",29.3236627,-83.13677389,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"3","WAYPOINT","SUW0060",29.31802863,-83.12542293,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"4","WAYPOINT","SUW0136",29.34353486,-83.07054548,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"5","WAYPOINT","SUW0234",29.39441485,-83.03437037,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"6","WAYPOINT","SUW0285",29.41883201,-83.02004043,"1",FALSE,"Suwannee River",FALSE,1,"Alternate"
"7","WAYPOINT","SUW0286",29.41858476,-83.01904784,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"8","WAYPOINT","SUW0335",29.45298933,-83.0051212,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"9","WAYPOINT","SUW0350",29.4635428,-82.99816682,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"10","WAYPOINT","SUW0391",29.48866484,-82.9815464,"1",FALSE,"Suwannee River",FALSE,1,"Alternate"
"11","WAYPOINT","SUW0427",29.5185958,-82.97884416,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"12","WAYPOINT","SUW0438",29.52063951,-82.97007499,"1",FALSE,"Suwannee River",FALSE,1,"Alternate"
"13","WAYPOINT","SUW0556",29.58814077,-82.94717687,"1",FALSE,"Suwannee River",FALSE,1,"Alternate"
"14","WAYPOINT","SUW0624",29.62833975,-82.97065946,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"15","WAYPOINT","SUW0772",29.71654804,-82.95584105,"1",FALSE,"Suwannee River",FALSE,1,"Primary"
"16","WAYPOINT","SUW0874",29.76959185,-82.94451436,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"17","WAYPOINT","SUW0887",29.7799102,-82.93857672,"2",FALSE,"Suwannee River",FALSE,2,"Alternate"
"18","WAYPOINT","SUW0983",29.82534519,-82.90113233,"2",FALSE,"Suwannee River",FALSE,2,"Alternate"
"19","WAYPOINT","SUW1031",29.86008391,-82.88033447,"2",FALSE,"Suwannee River",FALSE,2,"Alternate"
"20","WAYPOINT","SUW1103",29.89437243,-82.8883601,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"21","WAYPOINT","SUW1250",29.95786447,-82.94800028,"2",FALSE,"Suwannee River",FALSE,2,"Alternate"
"22","WAYPOINT","SUW1265",29.96767168,-82.95574734,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"23","WAYPOINT","SUW1291",29.98969099,-82.96283974,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"24","WAYPOINT","SUW1299",29.99554289,-82.96609122,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"25","WAYPOINT","SUW1344",30.00929597,-83.0020946,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"26","WAYPOINT","SUW1358",30.0210861,-83.00688799,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"27","WAYPOINT","SUW1400",30.04678512,-83.03605097,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"28","WAYPOINT","SUW1480",30.08593458,-83.09224293,"2",FALSE,"Suwannee River",FALSE,2,"Alternate"
"29","WAYPOINT","SUW1510",30.09823024,-83.1141844,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
"30","WAYPOINT","SUW1526",30.10357011,-83.12416086,"2",FALSE,"Suwannee River",FALSE,2,"Primary"
